row_id,id,nombre_punto,referencia_exacta,link_maps,created_at,updated_at
1,UBIC-01,S. Ortiz y Corrientes,Esquina principal,,2026-08-24 19:17:42,2026-08-24 19:17:42
2,UBIC-02,S. Ortiz y Warnes,Esquina,,2026-08-24 19:17:42,2026-08-24 19:17:42
3,UBIC-03,Corrientes y Troilo,Esquina,,2026-08-24 19:17:42,2026-08-24 19:17:42
4,UBIC-04,Corrientes y Vera,Esquina,,2026-08-24 19:17:42,2026-08-24 19:17:42
5,UBIC-05,Mástil Pqe Centenario,Cerca del mástil,,2026-08-24 19:17:42,2026-08-24 19:17:42
6,UBIC-06,Av. Corrientes 4645,Boca subte trasera,,2026-08-24 19:17:42,2026-08-24 19:17:42
7,UBIC-07,E. de Israel y Corrientes,Av. Estado de Israel y Corrientes,,2026-08-24 19:17:42,2026-08-24 19:17:42
